ID,一级领域,二级领域,模块一级,模块二级,计量单位,收费类型,包含许可数,基础价格（元/年）,价格阶梯,单价（元/年）,购买约束,许可购买说明,特殊许可说明,特殊物料说明
27,麦当劳,儿童套餐,儿童汉堡,,份,按使用量计费,4042,￥0.53,,,,成为下一个风口。,定制许可,限制销售地区
28,演唱会,vip区,1599区域,,座位数,定期收费,6948,￥4.71,635-1558,,必须购买“饮料”，“植物科普展示”，“支票账户”,,功能许可,预定制
29,麦当劳,学生套餐,麦乐鸡块,,份,服务费用,3587,￥82.86,,￥6.57,,,,授权销售
30,演唱会,看台区,599区域,,座位数,一次性收费,6926,,,,必须购买“玉米杯”，“电子账单”，“植物科普展示”,,功能许可,限制销售地区
31,植物园,休闲区,步行小道,,参观人数,一次性收费,,,135-6097,￥832.38,,,区间许可,限制销售地区
32,厨房,生鲜食材,肉类,猪肉,斤,按使用量计费,,￥680.17,314-8652,￥2653.57,必须购买“洗洁精”,其他的小姐姐。我觉得我会,功能许可,
33,演唱会,vip区,1399区域,,座位数,服务费用,,￥5.51,,￥39.20,,完成工作，由国内有效控,用户许可,预定制
34,演唱会,vip区,1399区域,,座位数,一次性收费,4064,￥3.16,,,,,,限制销售地区
35,厨房,烹饪调味料,食用油,,瓶,服务费用,,,,,必须购买“植物生态解说”，“玉米杯”,,,预定制
36,银行,投资产品,债券,企业债,产品数,定期收费,,,,￥45.96,,位置比较低沉、色彩鲜明，而且这些颜色,用户许可,限制购买数量
37,植物园,休闲区,书店,,参观人数,按使用量计费,,,960-9656,,必须购买“步行小道”,,用户许可,预定制
38,植物园,休闲区,步行小道,,参观人数,一次性收费,,￥2327.90,,,必须购买“脆脆贡菜卷”,,用户许可,授权销售
39,银行,财务服务,贷款服务,汽车贷款,用户数,按使用量计费,,￥55.54,911-3096,,必须购买“食用油”，“儿童汉堡”,直接与英国签订了《,区间许可,
40,麦当劳,学生套餐,脆脆贡菜卷,,份,服务费用,5046,,,,,,,授权销售
41,银行,投资产品,股票,普通股票,产品数,一次性收费,1266,￥1981.19,538-8671,￥96.08,,分析。一直关注笔者金文涛薇,定制许可,
42,麦当劳,儿童套餐,儿童汉堡,,份,服务费用,,￥391.49,,,,,区间许可,限制销售地区
43,麦当劳,早安套餐,豆浆,,份,定期收费,,,,,,,功能许可,限制销售地区
44,演唱会,看台区,599区域,,座位数,定期收费,,,497-8356,,,品牌。如果我现在在哪里？不行啊,区间许可,限制销售地区
45,演唱会,看台区,599区域,,座位数,定期收费,3281,,305-6188,,必须购买“洗洁精”,就是那个时候的自我解放了，我,区间许可,授权销售
46,银行,投资产品,债券,国债,产品数,定期收费,,,,,必须购买“保险产品”，“洗洁精”，“步行小道”,,,限制销售地区
47,厨房,储存容器,密封袋,,个,按使用量计费,,￥2013.13,947-7627,￥68.62,,浏览一下下面这张图:一般,功能许可,
48,银行,投资产品,保险产品,寿险,产品数,服务费用,2637,,,￥5721.51,,关系。三是实施分配制度改,定制许可,限制销售地区
49,麦当劳,早安套餐,培根蛋饼,,份,定期收费,,￥718.37,779-807,,,一样，在新能源出现以前，充电桩一样，只不,,授权销售
50,麦当劳,多人套餐,麦麦脆汁鸡,,份,定期收费,3566,￥73.82,,,必须购买“书店”,音乐中充当了小丑。《大话西游》里,用户许可,
51,演唱会,看台区,599区域,,座位数,定期收费,,￥35557.49,,,必须购买“植物生态解说”，“电子账单”,,定制许可,限制购买数量
52,银行,投资产品,基金,股票型基金,产品数,按使用量计费,9269,,,￥3.89,必须购买“外汇服务”,孩子，不要老看着孩子过于看重成绩。孩,区间许可,授权销售
53,银行,其他服务,汇款服务,国际汇款,用户数,定期收费,4789,￥9815.03,,,,首页生活最关心,定制许可,
54,演唱会,vip区,1599区域,,座位数,按使用量计费,,,314-2346,￥3669.41,,,功能许可,
55,厨房,刀具,砧板,,把,按使用量计费,2870,￥771.90,,,,,定制许可,限制购买数量
56,麦当劳,学生套餐,麦乐鸡块,,份,定期收费,,,,￥7269.44,必须购买“外汇服务”，“支票账户”,,定制许可,授权销售
57,银行,财务服务,支票账户,个人支票账户,用户数,按使用量计费,5533,,730-988,￥13002.28,,,定制许可,限制购买数量
58,演唱会,看台区,399区域,,座位数,服务费用,9018,,939-3093,￥365.36,必须购买“食用油”,,,预定制
59,厨房,刀具,砧板,,把,定期收费,2012,,309-816,￥7754.45,,方面，为了避免大家被坑,功能许可,授权销售
60,厨房,烹饪调味料,食用油,,瓶,服务费用,,￥1.44,446-841,,必须购买“饮料”,,,预定制
61,银行,财务服务,储蓄账户,定期存款账户,用户数,服务费用,6101,￥14.00,,,必须购买“洗洁精”,时间最长的省份为新疆,区间许可,预定制
62,植物园,教育区,植物生态解说,,参观人数,按使用量计费,,,,,必须购买“599区域”,参加高考，当然还没考完，还需要,定制许可,限制购买数量
63,厨房,刀具,菜刀,,把,按使用量计费,,￥6525.80,,￥30.64,必须购买“密封袋”，“植物科普展示”，“饮料”,,用户许可,授权销售
64,植物园,休闲区,步行小道,,参观人数,按使用量计费,8786,￥4.56,,,必须购买“汇款服务”，“外汇服务”，“食用油”,,,
65,麦当劳,多人套餐,麦麦脆汁鸡,,份,一次性收费,,￥419.85,,,,准备。对于第二个步,定制许可,
66,银行,线上银行服务,手机银行,,用户数,服务费用,6169,,402-9614,,必须购买“麦乐鸡块”，“饮料”,名称等，而要实施新增企业产权,功能许可,
67,麦当劳,早安套餐,麦满分,,份,一次性收费,5981,￥0.83,,,必须购买“麦乐鸡块”，“电子账单”，“密封袋”,,定制许可,授权销售
68,银行,其他服务,贵金属交易,铂金,用户数,按使用量计费,6275,,,,,来源：网络、广州潮生,功能许可,
69,演唱会,vip区,1399区域,,座位数,按使用量计费,7839,,363-4506,,,来源：搜狐网，未经允许不得转载，违者,区间许可,限制销售地区
70,厨房,烹饪器具,砧板,,件,按使用量计费,1276,,,￥77.05,,,功能许可,预定制
71,厨房,储存容器,保鲜盒,,个,按使用量计费,2565,,,￥533.95,,学校，不仅因为在本科阶段，他更是,定制许可,限制购买数量
72,演唱会,vip区,1599区域,,座位数,按使用量计费,5508,￥739.65,424-4537,￥4.98,必须购买“保鲜盒”，“799区域”,一个小家庭。可以去买些菜回来。可以去,区间许可,授权销售
73,植物园,休闲区,步行小道,,参观人数,定期收费,2111,￥45.67,875-1083,￥61.42,,标题：高考改革加法缩小差距大会,定制许可,授权销售
74,植物园,休闲区,书店,,参观人数,定期收费,,,241-9761,,,,功能许可,预定制
75,厨房,烹饪调味料,食用油,,瓶,定期收费,,,824-3650,￥974.76,必须购买“肉类”,,功能许可,授权销售
76,演唱会,看台区,599区域,,座位数,一次性收费,,,,￥99633.93,,,用户许可,限制购买数量
77,植物园,教育区,植物科普展示,,参观人数,定期收费,7160,,213-2500,￥8006.21,,,定制许可,限制购买数量
78,麦当劳,儿童套餐,玉米杯,,份,服务费用,7918,￥4199.44,83-5643,￥827.15,,实现了与时俱进，,定制许可,限制销售地区
79,麦当劳,学生套餐,麦乐鸡块,,份,定期收费,3683,￥51.16,831-4616,￥598.39,,,,限制销售地区
80,银行,其他服务,汇款服务,国内汇款,用户数,按使用量计费,4817,￥0.96,437-7235,,,,定制许可,限制销售地区
81,植物园,展示区,盆景区,,参观人数,定期收费,,,,,,经验。而今，王明诚、黄平、林,功能许可,授权销售
82,演唱会,vip区,1599区域,,座位数,一次性收费,,,,,,具有特殊意义；同时，在一定程度上可以推动,定制许可,授权销售
83,银行,财务服务,信用卡,普通信用卡,用户数,服务费用,1645,,,￥3623.53,必须购买“贵金属交易”,,定制许可,
84,麦当劳,学生套餐,脆脆贡菜卷,,份,一次性收费,7581,,,,,,定制许可,限制购买数量
85,厨房,清洁用品,抹布,,瓶/包/支/罐,定期收费,,,415-9035,￥8322.27,,注意的是，中国现阶段正在努力推进和稳步,用户许可,预定制
86,植物园,教育区,植物医院,,参观人数,服务费用,,,616-8299,,必须购买“菜刀”，“密封袋”,,用户许可,预定制
87,银行,财务服务,贷款服务,商业贷款,用户数,按使用量计费,1522,￥27.68,27-9437,￥79.40,必须购买“步行小道”,,功能许可,
88,厨房,储存容器,密封袋,,个,服务费用,,￥39584.80,,￥102.18,,电脑系统软件是否有效，会,功能许可,
89,演唱会,看台区,399区域,,座位数,定期收费,2450,,,￥52.56,,,用户许可,授权销售
90,麦当劳,学生套餐,脆脆贡菜卷,,份,服务费用,,,110-7447,,,这个地，有了不少房产投资。如果,定制许可,限制购买数量
91,厨房,餐具,碗,,套,服务费用,9602,￥3.10,,,,,,限制销售地区
92,麦当劳,早安套餐,薯饼,,份,按使用量计费,,￥11.81,752-8394,,,,区间许可,限制购买数量
93,银行,财务服务,支票账户,个人支票账户,用户数,服务费用,,,,￥77.01,必须购买“玉米杯”，“豆浆”,,区间许可,
94,演唱会,vip区,1599区域,,座位数,服务费用,4301,,,,必须购买“抹布”,,功能许可,限制销售地区
95,银行,其他服务,外汇服务,外汇兑换,用户数,服务费用,,,602-2808,,,时候，这个系统需要对他进行分类，,功能许可,
96,厨房,餐具,杯子,,套,服务费用,,￥55.41,,￥7.44,,相关行政处罚及法律服务。（二十一）有权,功能许可,
97,麦当劳,早安套餐,培根蛋饼,,份,服务费用,,,801-7112,￥88197.24,,然后我当时心里很不是滋味，觉得,功能许可,预定制
98,银行,线上银行服务,网上银行,,用户数,定期收费,2044,￥365.74,72-1955,,,,区间许可,限制购买数量
99,演唱会,看台区,799区域,,座位数,一次性收费,,,283-6103,,,,用户许可,授权销售
100,银行,财务服务,储蓄账户,活期账户,用户数,服务费用,6154,￥517.55,,,,,功能许可,限制购买数量
101,演唱会,vip区,1599区域,,座位数,服务费用,5163,￥59.13,,￥266.82,必须购买“砧板”，“债券”,,功能许可,预定制
102,厨房,刀具,菜刀,,把,服务费用,,￥84.98,154-2033,,,广告代拍、摄影剪辑、艺术策划,用户许可,
103,演唱会,看台区,599区域,,座位数,服务费用,,￥9.17,,,,留言写留言该文章作者已设置需关注,功能许可,预定制
104,银行,其他服务,汇款服务,国内汇款,用户数,一次性收费,5412,,,￥0.91,,,功能许可,预定制
105,麦当劳,学生套餐,脆脆贡菜卷,,份,一次性收费,,￥31.25,,,,朋友的身上。后来，因为,,授权销售
106,演唱会,看台区,799区域,,座位数,一次性收费,7536,,278-3618,,必须购买“贵金属交易”，“书店”，“599区域”,,区间许可,预定制
107,厨房,储存容器,保鲜盒,,个,一次性收费,,,127-1839,,必须购买“799区域”,感觉上，都是很值得一看,区间许可,预定制
108,银行,投资产品,保险产品,车险,产品数,定期收费,1868,,692-6225,￥32032.69,,,定制许可,授权销售
109,厨房,烹饪调味料,香料,,瓶,按使用量计费,,,377-3587,￥466.56,必须购买“麦满分”，“玉米杯”,,功能许可,
110,银行,投资产品,股票,优先股票,产品数,服务费用,,￥75.99,,,,这些年，老实说从我跟你讲,功能许可,授权销售
111,演唱会,vip区,1599区域,,座位数,按使用量计费,,,,￥5.96,必须购买“豆浆”，“储蓄账户”，“儿童汉堡”,项目建设运营以及技术研究的专业化管理,区间许可,预定制
112,演唱会,vip区,1399区域,,座位数,定期收费,,,638-2616,￥34238.77,,不能接受不是你想要的，而是,区间许可,授权销售
113,麦当劳,多人套餐,饮料,雪碧,份,定期收费,,,,,必须购买“麦满分”,成功？（答案在下面↓↓↓）此时人,功能许可,
114,麦当劳,学生套餐,脆脆贡菜卷,,份,按使用量计费,,,761-4282,￥474.95,必须购买“基金”,,,限制销售地区
115,演唱会,看台区,399区域,,座位数,按使用量计费,7535,,,￥3.84,,能力，如何把知识,,限制购买数量
116,植物园,教育区,植物医院,,参观人数,按使用量计费,,,745-2079,,必须购买“玉米杯”,其他学习技术，在此也表示,用户许可,限制购买数量
117,银行,财务服务,信用卡,金卡,用户数,按使用量计费,,￥9.38,,,必须购买“植物生态解说”,产品，最基本的是品牌的知名度和美誉,功能许可,限制购买数量
118,厨房,餐具,碗,,套,一次性收费,,,,￥4.65,,,定制许可,限制购买数量
119,厨房,生鲜食材,蔬菜,番茄,斤,按使用量计费,,,747-6185,￥38.35,,下载吉祥物的app，点击下载吉祥,用户许可,限制销售地区
120,演唱会,看台区,599区域,,座位数,服务费用,,￥73.89,343-8040,￥312.53,,,用户许可,预定制
121,植物园,教育区,植物医院,,参观人数,服务费用,,￥66441.14,,,必须购买“密封袋”，“植物生态解说”,但是，他还是被称为：,定制许可,
122,厨房,刀具,菜刀,,把,服务费用,1286,￥61352.32,,,必须购买“肉类”，“盆景区”,部分，以及更换。6、检查,定制许可,限制销售地区
123,银行,投资产品,保险产品,寿险,产品数,按使用量计费,,,432-6766,,,,用户许可,限制购买数量
124,厨房,生鲜食材,水果,草莓,斤,定期收费,,,,￥57001.77,,事情：有一天你能,,限制销售地区
125,演唱会,vip区,1399区域,,座位数,按使用量计费,1037,￥5.96,850-5548,,,一般认为，从长期效果看，房产价格在下降,用户许可,预定制
126,银行,线上银行服务,手机银行,,用户数,服务费用,8515,,777-6962,,,无法提供正确渠道资产估值，,功能许可,限制购买数量
127,植物园,展示区,盆景区,,参观人数,按使用量计费,,,,,,方面，其在国际资产大鳄的,用户许可,预定制
128,麦当劳,儿童套餐,苹果片,,份,定期收费,,,,￥25.60,,地址：广州市荔,,限制购买数量
129,厨房,烹饪调味料,香料,,瓶,一次性收费,3430,,,￥97929.89,必须购买“苹果片”，“培根蛋饼”,点击进入高速公路▼▼▼▼▼▼还有这份,用户许可,
130,银行,财务服务,信用卡,商业信用卡,用户数,一次性收费,,￥5762.31,801-6019,￥28.95,,两个都没有，还是他们这个大,,
131,麦当劳,学生套餐,麦乐鸡块,,份,定期收费,6186,￥3047.81,628-4377,￥564.91,必须购买“密封袋”,,定制许可,限制销售地区
132,厨房,清洁用品,清洁刷,,瓶/包/支/罐,按使用量计费,8114,￥95.57,,,必须购买“399区域”，“水果”，“步行小道”,,,授权销售
133,演唱会,vip区,1599区域,,座位数,一次性收费,5713,￥3002.40,,￥7871.87,必须购买“培根蛋饼”，“植物医院”,,功能许可,限制销售地区
134,植物园,展示区,水生植物区,,参观人数,一次性收费,2884,,601-3236,,必须购买“清洁刷”，“基金”，“豆浆”,,区间许可,
135,麦当劳,多人套餐,汉堡,巨无霸,份,服务费用,,￥8.58,,￥72.40,,,功能许可,限制销售地区
136,厨房,厨房电器,烤箱,,台,定期收费,91,,945-3851,,,系统的优化，可以更加注重细节，更加考虑用,,限制购买数量
137,银行,其他服务,贵金属交易,铂金,用户数,一次性收费,6242,￥5726.08,,￥13.83,,相关业务的发展。本次拟投资建设天,,预定制
138,厨房,厨房电器,油烟机,,台,按使用量计费,,,,￥5.15,必须购买“植物科普展示”,,,预定制
139,演唱会,看台区,599区域,,座位数,服务费用,2981,￥173.69,,￥39.55,,个人的精神世界，包括心理上的,,授权销售
140,演唱会,vip区,1599区域,,座位数,一次性收费,,,,￥1.11,,正在接受这个事,定制许可,授权销售
141,麦当劳,儿童套餐,苹果片,,份,定期收费,,￥616.77,,,必须购买“网上银行”，“种子培育区”,社会资本主导的,用户许可,预定制
142,麦当劳,儿童套餐,薯条,中薯,份,一次性收费,1802,￥867.63,554-1013,￥56822.45,,准备，一场不错的对,,
143,麦当劳,学生套餐,麦乐鸡块,,份,定期收费,,,,￥633.71,,地方有更好的市场机会。如今，华润、,区间许可,
144,演唱会,看台区,599区域,,座位数,服务费用,4989,,,￥26663.80,,一起做个朋友也,用户许可,
145,麦当劳,儿童套餐,儿童汉堡,,份,按使用量计费,,￥72964.66,,,,,用户许可,预定制
146,植物园,教育区,植物科普展示,,参观人数,服务费用,,,515-2052,￥24507.92,,关于双方都有责任的条款的具体要求。4,区间许可,
147,银行,线上银行服务,手机银行,,用户数,服务费用,,,648-2020,￥82.02,,,,预定制
148,植物园,教育区,种子培育区,,参观人数,一次性收费,5536,,987-4441,,,类型，当然也是因为国产电视剧,,限制销售地区
149,麦当劳,学生套餐,麦乐鸡块,,份,按使用量计费,9487,￥4755.35,895-2625,￥1839.98,必须购买“网上银行”，“薯饼”,,定制许可,
150,银行,财务服务,支票账户,个人支票账户,用户数,定期收费,2576,,660-8759,,,基本的人格、思维惯性、文静内敛的特点，,定制许可,限制购买数量
151,演唱会,看台区,799区域,,座位数,一次性收费,,,,￥1.00,,,,限制购买数量
152,银行,财务服务,信用卡,商业信用卡,用户数,一次性收费,9672,￥638.49,,￥902.82,,,定制许可,授权销售
153,植物园,休闲区,观景台,,参观人数,按使用量计费,7246,,748-2322,,,上海证券交易所上海分公司注册,,限制销售地区
154,厨房,储存容器,密封袋,,个,一次性收费,9275,￥9676.23,,,,,区间许可,限制销售地区
155,麦当劳,儿童套餐,儿童汉堡,,份,定期收费,2249,,,￥962.47,必须购买“水果”，“外汇服务”,电话：15037916668地址：南湖区文化路长春路,,限制购买数量
156,植物园,教育区,植物生态解说,,参观人数,按使用量计费,9161,￥56.27,,,,,用户许可,授权销售
157,演唱会,看台区,399区域,,座位数,一次性收费,6903,￥4115.52,,,必须购买“汇款服务”,计划书后，开启发债模式，开,功能许可,限制销售地区
158,演唱会,vip区,1599区域,,座位数,服务费用,3541,,,,必须购买“砧板”，“碗”，“汉堡”,的人，在一些专业的活动中去欣赏某种歌,功能许可,授权销售
159,植物园,展示区,热带植物区,,参观人数,一次性收费,,,111-9223,￥6274.10,必须购买“电子账单”，“麦满分”,电影放映的时候，,用户许可,预定制
160,植物园,展示区,沙漠植物区,,参观人数,服务费用,,,904-4573,￥24753.74,,一定的空间，使两类投资组合在交易执,区间许可,限制销售地区
161,银行,财务服务,支票账户,个人支票账户,用户数,按使用量计费,5708,￥30940.88,,￥63401.38,必须购买“抹布”，“水生植物区”，“儿童汉堡”,,,限制销售地区
162,厨房,生鲜食材,蔬菜,土豆,斤,服务费用,5125,,,￥1.34,必须购买“肉类”，“儿童汉堡”，“菜刀”,,,
163,演唱会,vip区,1599区域,,座位数,定期收费,7090,￥408.35,257-1544,￥82039.64,必须购买“债券”,,定制许可,限制销售地区
164,演唱会,vip区,1399区域,,座位数,一次性收费,,,82-714,,,任何时候都可以这样做。而且,定制许可,限制销售地区
165,麦当劳,儿童套餐,薯条,中薯,份,一次性收费,6714,,,,必须购买“1399区域”，“玉米杯”，“汇款服务”,客户满意，这也是全球范围内的经,定制许可,
166,银行,财务服务,支票账户,个人支票账户,用户数,一次性收费,8901,,349-3320,￥7.52,,有关方面共同研究论证过程中发现,定制许可,授权销售
167,植物园,教育区,植物生态解说,,参观人数,按使用量计费,,￥901.62,412-6677,,,只是做了一件没用,用户许可,授权销售
168,麦当劳,儿童套餐,苹果片,,份,服务费用,2439,￥17.37,19-6662,￥84.26,,,,
169,麦当劳,儿童套餐,薯条,中薯,份,一次性收费,,,,,必须购买“豆浆”,,区间许可,预定制
170,植物园,休闲区,咖啡馆,,参观人数,按使用量计费,4333,,,,必须购买“手机银行”,,区间许可,限制销售地区
171,厨房,清洁用品,清洁刷,,瓶/包/支/罐,按使用量计费,,,194-9726,￥2.58,,这是因为这是为了鼓励、鼓励、鼓励，一,区间许可,
172,厨房,烹饪器具,砧板,,件,定期收费,,￥45.81,,￥984.25,必须购买“599区域”,浏览，对号入座。(1)第一,定制许可,授权销售
173,麦当劳,多人套餐,汉堡,板烧鸡腿堡,份,服务费用,4426,,812-6979,￥704.72,必须购买“咖啡馆”,,用户许可,
174,演唱会,看台区,399区域,,座位数,一次性收费,2748,￥489.13,932-2665,,必须购买“电子账单”，“豆浆”，“砧板”,设备，不断提高新技术研发能力。,用户许可,限制销售地区
175,厨房,刀具,砧板,,把,服务费用,1356,￥1.57,,￥4.99,,能够提高人的生病防控技术,区间许可,限制销售地区
176,厨房,清洁用品,洗洁精,,瓶/包/支/罐,服务费用,2328,￥780.83,167-8087,,必须购买“抹布”,,定制许可,预定制
177,演唱会,vip区,1599区域,,座位数,定期收费,,,,￥96.99,必须购买“观景台”,这种方式能够降低,功能许可,授权销售
178,厨房,清洁用品,洗洁精,,瓶/包/支/罐,一次性收费,4723,,287-2946,￥78007.46,必须购买“香料”，“菜刀”,,用户许可,授权销售
179,厨房,餐具,碗,,套,一次性收费,,,81-9124,￥876.14,,,区间许可,
180,演唱会,vip区,1399区域,,座位数,服务费用,,,,￥21.25,必须购买“密封袋”,,功能许可,授权销售
181,厨房,烹饪调味料,食用油,,瓶,按使用量计费,,,772-5073,,必须购买“债券”,中国第二大水货船航运集散中心。国内,功能许可,预定制
182,植物园,展示区,热带植物区,,参观人数,服务费用,604,￥65896.83,,,必须购买“保险产品”，“外汇服务”,,定制许可,预定制
183,植物园,休闲区,咖啡馆,,参观人数,一次性收费,,￥85.75,570-6278,,必须购买“热带植物区”,也是不是非常多。在中国,功能许可,预定制
184,麦当劳,早安套餐,豆浆,,份,按使用量计费,,￥44500.41,442-8755,,必须购买“食用油”,,区间许可,授权销售
185,演唱会,看台区,799区域,,座位数,服务费用,,,851-2268,,,任何国家人民对于我们有意无意,定制许可,限制销售地区
186,厨房,烹饪调味料,香料,,瓶,服务费用,7356,￥132.64,,￥8.50,,,区间许可,预定制
187,演唱会,看台区,599区域,,座位数,定期收费,2359,,437-4152,,必须购买“观景台”，“碗”，“沙漠植物区”,汽车企业，我们,区间许可,预定制
188,植物园,教育区,植物科普展示,,参观人数,一次性收费,250,,593-2366,￥935.03,,电影《黑鹰坠落》，同时也是国家纪录片,功能许可,
189,厨房,烹饪器具,烤架,,件,定期收费,9739,￥8356.36,687-4401,￥34.52,必须购买“沙漠植物区”，“手机银行”，“密封袋”,今天的投资者仍,功能许可,预定制
190,麦当劳,多人套餐,麦辣鸡翅,,份,一次性收费,,￥45.04,79-6043,,,发展为主题，美丽乡村建设和美丽,区间许可,授权销售
191,演唱会,vip区,1399区域,,座位数,定期收费,,,,,必须购买“砧板”，“薯条”,这么多年来，它经过的,定制许可,限制销售地区
192,植物园,休闲区,观景台,,参观人数,服务费用,2836,,,￥1095.57,,,功能许可,限制销售地区
193,演唱会,看台区,599区域,,座位数,服务费用,,￥14.50,341-5170,,必须购买“薯饼”，“网上银行”，“股票”,,用户许可,授权销售
194,演唱会,看台区,399区域,,座位数,定期收费,5829,￥5.07,753-1938,￥9.63,必须购买“薯条”，“信用卡”，“油烟机”,重要性。另一个指标,定制许可,限制销售地区
195,植物园,展示区,盆景区,,参观人数,按使用量计费,,,,￥93.89,,,用户许可,授权销售
196,厨房,清洁用品,洗碗液,,瓶/包/支/罐,按使用量计费,3170,￥9076.66,656-2469,,必须购买“麦乐鸡块”,其实是个很美的地方,,授权销售
197,银行,线上银行服务,网上银行,,用户数,定期收费,,,,￥76524.44,必须购买“玉米杯”，“麦满分”,以及新型专业管理两个专题。第,用户许可,预定制
198,厨房,烹饪器具,切菜板,,件,定期收费,6324,￥83553.60,825-7014,,必须购买“基金”，“1399区域”,拥有国家科技奖励扶持,用户许可,预定制
199,麦当劳,儿童套餐,儿童汉堡,,份,服务费用,,,,,必须购买“观景台”，“热带植物区”，“饮料”,教育、学科教学等方面,,预定制
200,银行,其他服务,外汇服务,外汇兑换,用户数,服务费用,1043,￥10325.76,,￥144.01,必须购买“烤架”，“种子培育区”，“盆景区”,所以才会有。有,定制许可,限制购买数量
